"Timestamp","in_state_out_of_state","quarterly_fee_types","quarterly_fee_amount","student_contribution","state_contribution","medical_centers"
"2016/05/10 3:36:47 PM MDT","$20,000 – 29,999","Activity Fee, ","$900 – 1,000","50 – 60%","30 – 34%","30 – 39%"
"2016/05/10 3:58:55 PM MDT","$30,000 – 40,000","AS Activity Fee, College Activity Fee, ICA Fee, UCEN Fee ","$900 – 1,000","45 – 49%","50 – 54%","30 – 39%"
"2016/05/10 4:02:46 PM MDT","$20,000 – 29,999","Gym, Caps, student orgs, student body, transportation","$600 – 699","45 – 49%","50 – 54%","10 – 19%"
"2016/05/10 4:14:00 PM MDT","$30,000 – 40,000","None","$500 – 599","50 – 60%","35 – 39%","10 – 19%"
"2016/05/10 4:18:29 PM MDT","$10,000 – 19,999","None","$500 – 599","50 – 60%","30 – 34%","50 – 60%"
"2016/05/10 4:18:53 PM MDT","$30,000 – 40,000","Activities fee, ship, ","$400 – 499","30 – 34%","50 – 54%","50 – 60%"
"2016/05/10 4:30:19 PM MDT","$20,000 – 29,999","rimac/gym, bus sticker","$400 – 499","45 – 49%","30 – 34%","20 – 29%"
"2016/05/10 4:50:01 PM MDT","$20,000 – 29,999","Tuition","$900 – 1,000","30 – 34%","55 – 59%","20 – 29%"
"2016/05/10 4:50:51 PM MDT","$20,000 – 29,999","Gym, bus","$500 – 599","50 – 60%","30 – 34%","30 – 39%"
"2016/05/10 5:50:25 PM MDT","$10,000 – 19,999","None","$600 – 699","40 – 44%","45 – 49%","20 – 29%"
"2016/05/10 6:19:00 PM MDT","$20,000 – 29,999","None","$500 – 599","50 – 60%","30 – 34%","20 – 29%"
"2016/05/10 6:28:03 PM MDT","$20,000 – 29,999","Gym","$600 – 699","40 – 44%","45 – 49%","30 – 39%"
"2016/05/10 6:46:30 PM MDT","$20,000 – 29,999","Bus Stickers, AS Funding","$600 – 699","35 – 39%","50 – 54%","20 – 29%"
"2016/05/10 7:39:16 PM MDT","$20,000 – 29,999","activity, college fees","$400 – 499","25 – 29%","55 – 59%","10 – 19%"
"2016/05/10 7:44:52 PM MDT","$10,000 – 19,999","AS activity fee, housing/dining (if applicable), base tuition, random event stuff","$400 – 499","35 – 39%","60 – 65%","10 – 19%"
"2016/05/10 8:02:44 PM MDT","$20,000 – 29,999","Activity fee, rec fee, ucen fee","$500 – 599","50 – 60%","30 – 34%","10 – 19%"
"2016/05/10 8:45:42 PM MDT","$1,000 – 9,999","Recreation center fees, Stundet Fees, Library fees","$800 – 899","40 – 44%","35 – 39%","10 – 19%"
"2016/05/10 8:47:38 PM MDT","$10,000 – 19,999","Student Activity Fee, Recreation Fee, Athletics Fee, Residential Life fee","$600 – 699","30 – 34%","55 – 59%","30 – 39%"
"2016/05/10 9:10:06 PM MDT","$10,000 – 19,999","Recreation, housing, bus, activities ","$900 – 1,000","35 – 39%","55 – 59%","20 – 29%"
"2016/05/10 9:11:23 PM MDT","$10,000 – 19,999","None","$500 – 599","25 – 29%","30 – 34%","10 – 19%"
